0	When will China legalise same-sex marriage?	https://www.metaculus.com/questions/3887/when-will-china-legalise-same-sex-marriage/	4	1	4
1	How many species of pangolin will survive to 2050?	https://www.metaculus.com/questions/5576/current-species-of-pangolin-remaining-in-2050/	4	2	4
2	How many of the new LessWrong book sets will be sold on Amazon by March 1st 2022?	https://www.metaculus.com/questions/7767/total-new-lesswrong-book-sales-by-march-2022/	0.5	4	3
3	When will the next Palestinian election be held?	https://www.metaculus.com/questions/8091/date-of-next-palestinian-election/	2	1	4
4	On what day will Solar Cycle 25’s maximum occur?	https://www.metaculus.com/questions/4976/on-what-day-will-solar-cycle-25s-maximum-occur/	5	2	3
5	Will George R. R. Martin die before the final book of A Song Of Ice And Fire is published?	https://www.metaculus.com/questions/1681/will-george-r-r-martin-die-before-the-final-book-of-a-song-of-ice-and-fire-is-published/	0.5	0	4
6	Will Scotland leave the United Kingdom before 2025?	https://www.metaculus.com/questions/2577/will-scotland-leave-the-united-kingdom-before-2025/	2	2	4
7	By 2023, how fast will the Effective Altruism Wiki have grown relative to the LessWrong Wiki?	https://www.metaculus.com/questions/7889/ea-wiki-growth-relative-to-lw-wiki/	0.5	4	3
8	Will there be a deadly clash involving gunfire or explosives between Japan and China before 2024?	https://www.metaculus.com/questions/8159/clash-between-japan-and-china-by-2024/	5	2	4
9	Bitcoin Extremes: Will 1 bitcoin be worth $100,000 or more before 2025?	https://www.metaculus.com/questions/3820/bitcoin-extremes-will-1-bitcoin-be-worth-100000-or-more-before-2025/	4	4	3
10	How many billions of parameters will the largest machine learning model trained before 2030 have?	https://www.metaculus.com/questions/4518/how-many-billions-of-parameters-will-the-largest-machine-learning-model-trained-before-2030-have/	4	2	4
11	How many cents will it cost a typical consumer in the United States to store 10 GB of data on January 1st 2025?	https://www.metaculus.com/questions/4048/how-many-cents-will-it-cost-a-typical-consumer-in-the-united-states-to-store-10-gb-of-data-on-january-1st-2025/	3	1	4
12	How many Computer Vision and Pattern Recognition e-prints will be published on arXiv over the 2021-01-14 to 2022-01-14 period?	https://www.metaculus.com/questions/6298/cv-e-prints-2021-01-14-to-2022-01-14/	0.5	0	4
13	What percentage of the US federal budget will be used for Medicare in 2024?	https://www.metaculus.com/questions/6066/us-federal-budget-for-medicare-in-2024/	4	2	4
14	When will Haiti become an upper middle-income country?	https://www.metaculus.com/questions/2617/when-will-haiti-become-an-upper-middle-income-country/	3	1	4
15	Will ≥8% of U.S. adults self-report to follow a vegetarian diet before 2036?	https://www.metaculus.com/questions/3360/will-8-of-us-adults-self-report-to-follow-a-vegetarian-diet-before-2036/	4	4	4
16	How many years will caloric restriction be demonstrated to add to one's natural lifespan?	https://www.metaculus.com/questions/4094/how-many-years-will-caloric-restriction-be-demonstrated-to-add-to-ones-natural-lifespan/	3	4	4
